School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,Blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
GPS MANAK MAJRA,03090406301,Punjab,LUDHIANA,KHANNA-2,GPS BHADLA,MANAK MAJRA,141401,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,14,11,21,18,22,0,0,0,0,0,0,0,86,130,11,3,3
GSSS MANAK MAJRA,03090406302,Punjab,LUDHIANA,KHANNA-2,GPS BHADLA,MANAK MAJRA,141401,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,39,42,38,47,64,76,81,387,387,0,18,18
GPS RAHOUN,03090407101,Punjab,LUDHIANA,KHANNA-1,GPS KHANNA NO. VI,RAHOUN,141401,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,2-Urban,18,36,30,20,30,0,0,0,0,0,0,0,134,171,36,5,5
GMS RAHOUN,03090407102,Punjab,LUDHIANA,KHANNA-1,GPS KHANNA NO. VI,RAHOUN,141401,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,2-Urban,0,0,0,0,0,17,28,20,0,0,0,0,65,65,0,5,5
GTB NATIONAL SEN SEC SCHOOL,03090407105,Punjab,LUDHIANA,KHANNA-1,GPS KHANNA NO. VI,RAHOUN,141401,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,4-Government Aided,4-Government Aided,,2-Urban,0,0,0,0,0,48,38,32,64,49,66,67,364,364,0,11,11
GPS RAMGARH,03090407401,Punjab,LUDHIANA,KHANNA-2,GPS BHADLA,RAMGARH,141401,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,10,9,8,3,14,0,0,0,0,0,0,0,44,72,9,3,3
GMS RAMGARH NWA PIND,03090407402,Punjab,LUDHIANA,KHANNA-2,GPS BHADLA,RAMGARH,141401,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,37,13,13,0,0,0,0,63,63,0,3,3
GPS RASULRA,03090407501,Punjab,LUDHIANA,KHANNA-1,GPS KHANNA NO. I,RASULRA,141401,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,18,26,34,26,36,0,0,0,0,0,0,0,140,184,26,7,7
GSSS RASULRA,03090407502,Punjab,LUDHIANA,KHANNA-1,GPS KHANNA NO. I,RASULRA,141401,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,61,64,60,86,134,61,61,527,527,0,24,24
GPS RATANHERI,03090407601,Punjab,LUDHIANA,KHANNA-2,GPS BHADLA,RATANHERI,141401,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,20,23,28,26,30,0,0,0,0,0,0,0,127,176,23,5,5
SACRED HEART SEN. SEC. SCHOOL,03090407602,Punjab,LUDHIANA,KHANNA-2,GPS BHADLA,RATANHERI,141401,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,168,185,181,195,199,182,194,229,218,200,118,120,2189,2488,185,88,88
GMS RATANHERI,03090407603,Punjab,LUDHIANA,KHANNA-2,GPS BHADLA,RATANHERI,141401,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,55,34,29,0,0,0,0,118,118,0,5,5
GPS ROHNO KALAN,03090407801,Punjab,LUDHIANA,KHANNA-1,GPS ROHNO KALAN,ROHNO KALAN,141401,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,17,20,13,11,19,0,0,0,0,0,0,0,80,116,20,3,3
GMS ROHNO KALAN,03090407802,Punjab,LUDHIANA,KHANNA-1,GPS ROHNO KALAN,ROHNO KALAN,141401,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,27,25,17,0,0,0,0,69,69,0,3,3
GPS ROHNO KHURD,03090407901,Punjab,LUDHIANA,KHANNA-1,GPS ROHNO KALAN,ROHNO KHURD,141401,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,8,5,3,7,7,0,0,0,0,0,0,0,30,43,5,1,1
