School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
Y.G. HIGH SCHOOL BUPANIA,06150201009,Haryana,JHAJJAR,BAHADURGARH,GSSS BUPANIA,BHUPANIA,124507,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,24,17,37,15,19,16,20,22,0,0,0,0,170,211,17,14,14
GPS BIR BARKATABAD,06150201101,Haryana,JHAJJAR,BAHADURGARH,GSSS LUKSAR,BIR BARKTABAD,124507,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,24,38,23,34,28,0,0,0,0,0,0,0,147,147,38,3,3
GSSS BIR BARKATABAD,06150201102,Haryana,JHAJJAR,BAHADURGARH,GSSS LUKSAR,BIR BARKTABAD,124507,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,17,19,29,25,26,39,29,184,184,0,15,15
"ASHOKA INTERNATIONAL SCHOOL, BAHADURGARH",06150201103,Haryana,JHAJJAR,BAHADURGARH,GSSS LUKSAR,BIR BARKTABAD,124507,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,22,27,33,34,29,27,23,28,23,37,33,36,352,381,27,19,19
"NAVYUG PRIMARY SCHOOL, BIR BARKATABAD",06150201104,Haryana,JHAJJAR,BAHADURGARH,GSSS LUKSAR,BIR BARKTABAD,124507,1-Primary,3-Co-educational,1,5,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,7,2,2,8,6,0,0,0,0,0,0,0,25,43,2,3,3
GPS DABODHA KALAN,06150201401,Haryana,JHAJJAR,BAHADURGARH,GGSSS NUNA MAJRA,DABAUDA KALAN,124507,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,15,11,9,16,15,0,0,0,0,0,0,0,66,66,11,2,2
GMS DABODHA KALAN,06150201402,Haryana,JHAJJAR,BAHADURGARH,GGSSS NUNA MAJRA,DABAUDA KALAN,124507,4-Upper Primary only,3-Co-educational,6,8,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,8,8,16,0,0,0,0,32,32,0,5,5
GSSS DABODHA KALAN,06150201403,Haryana,JHAJJAR,BAHADURGARH,GGSSS NUNA MAJRA,DABAUDA KALAN,124507,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,8,12,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,0,0,0,29,20,20,18,87,87,0,14,14
GAGAN BHARTI HIGH SCHOOL DABODHA KALAN,06150201404,Haryana,JHAJJAR,BAHADURGARH,GGSSS NUNA MAJRA,DABAUDA KALAN,124507,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,1-Rural,6,3,5,4,4,18,27,0,0,0,0,0,67,67,3,4,4
GPS DABAUDA KHURD,06150201501,Haryana,JHAJJAR,BAHADURGARH,GSSS BUPANIA,DABAUDA KHURD,124507,1-Primary,3-Co-educational,1,5,1-Department of Education,1-Department of Education,,1-Rural,22,12,23,20,19,0,0,0,0,0,0,0,96,96,12,2,2
GSSS DABAUDA KHURD,06150201502,Haryana,JHAJJAR,BAHADURGARH,GSSS BUPANIA,DABAUDA KHURD,124507,5-Up. Pr. Secondary and Higher Sec,3-Co-educational,6,12,1-Department of Education,1-Department of Education,,1-Rural,0,0,0,0,0,10,12,12,18,22,32,14,120,120,0,11,11
