School Name,Udise Code,State,District,Block,Cluster,Village,PINCODE,School Category,School Type,Class To,Class From,State Management,National Management,Location,blank,I,II,III,IV,V,VI,VII,VIII,IX,X,XI,XII,Total 1-12,Total with primary,XXXX,Teacher,pta nhi
"Jai Hind Public School,Pooth Khurd, Delhi",07010302707,Delhi,NORTH WEST A,DOE ZONE-10,"1310411-Govt. Girls Sr. Sec. School, Shahbad Daulatpur, Delhi",031-N (Pooth Khurd),110039,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,31,28,31,28,41,29,28,29,44,82,180,184,735,790,28,35,35
"New Delhi Public School,Bawana Road, Barwala, Delhi",07010302708,Delhi,NORTH WEST A,DOE ZONE-10,"1310411-Govt. Girls Sr. Sec. School, Shahbad Daulatpur, Delhi",033-N (Begumpur),110039,6-Pr. Up Pr. and Secondary Only,3-Co-educational,1,10,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,15,27,29,31,29,25,32,37,16,15,0,0,256,256,27,11,11
"Aryans International School,Plot No.681, Khasra No.154, V& PO Pooth Khurd, Delhi",07010302717,Delhi,NORTH WEST A,DOE ZONE-10,"1310411-Govt. Girls Sr. Sec. School, Shahbad Daulatpur, Delhi",031-N (Pooth Khurd),110039,2-Primary with Upper Primary,3-Co-educational,1,8,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,8,16,25,22,19,13,23,5,0,0,0,0,131,131,16,9,9
"White Leaf Public School,Plot No.80, Gali No-23, Pooth Khurd, Delhi",07010302718,Delhi,NORTH WEST A,DOE ZONE-10,"1310411-Govt. Girls Sr. Sec. School, Shahbad Daulatpur, Delhi",031-N (Pooth Khurd),110039,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,51,53,48,69,73,51,72,76,72,91,156,118,930,993,53,21,21
"GR International School,154/423, V & PO Pooth Khurd, Delhi",07010302723,Delhi,NORTH WEST A,DOE ZONE-10,"1310411-Govt. Girls Sr. Sec. School, Shahbad Daulatpur, Delhi",001-N (Narela),110039,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,92,79,71,87,72,72,52,40,81,96,11,0,753,827,79,38,38
"Aristotle Public School,Near Bus Stand Qutoab Garh, Delhi",07010302802,Delhi,NORTH WEST B,DOE ZONE-13,"1355033-North DMC Pratibha Vidyalaya (Girls) , Kanjhawala Delhi",029-N (Nangal Thakran),110039,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,51,56,51,50,51,45,54,33,26,40,50,26,533,583,56,27,27
"Tulips International School,Pooth Khurd,Delhi Bawana Road,Delhi",07010302804,Delhi,NORTH WEST A,DOE ZONE-10,"1310411-Govt. Girls Sr. Sec. School, Shahbad Daulatpur, Delhi",033-N (Begumpur),110039,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,47,52,37,65,74,73,73,59,84,62,45,55,726,771,52,41,41
"Sky Hawk International School,Auchandi Border Delhi",07010302805,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",029-N (Nangal Thakran),110039,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,57,63,61,64,63,74,57,65,44,51,171,126,896,950,63,25,25
"L. K. International School,Auchadi Road,Bawana, Delhi",07010302806,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,65,76,119,132,125,120,119,134,159,127,137,114,1427,1512,76,64,64
"White Leaf Public School,Main Narela Road, Bawana Delhi",07010302808,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",030-N (Bawana),110039,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,75,99,88,73,116,106,84,97,105,94,171,407,1515,1616,99,42,42
"Chand Ram Public School,H P.O Nangal Thakaran Delhi",07010302809,Delhi,NORTH WEST A,DOE ZONE-10,"1355001-North DMC Pratibha Vidyalaya Old (Boys) , Bawana, Delhi",029-N (Nangal Thakran),110039,3-Pr. with Up.Pr. Sec. and H.Sec.,3-Co-educational,1,12,5-Private Unaided (Recognized),5-Private Unaided (Recognized),,2-Urban,46,38,70,58,34,31,28,30,85,183,178,205,986,1028,38,31,31
